题目类型,题目内容,选项A,选项B,选项C,选项D,选项E,正确答案,分值,难度,竞赛来源,标签/分类,解析
单选,两个正整数，只要不相等，就一直进行如下操作：最大数减去最小数得到一个值，该值和两个数的最小数构成新的两个正整数，重复操作，直到两个数相等。横线处应该填写,（1）N = N - M （2）M = M - N,（1）M = M - N （2）N = N - M,（1）M = N - M （2）N = M - N,"（1）N, M = M, N （2）M, N = N, M",,D,2,中等,GESP-2025.12,一级 辗转相减 条件判断,N>=M时N=N-M，N<M时需先交换再相减
单选,"如果一个正整数能被3整除，或者某一位能被3整除，则称之为""漂亮数""。L1行应填入的代码是：
int N, Flag;
cin >> N;
Flag = 0;
if (N % 3 == 0)
    Flag = 1;
else
    while (N != 0){
        if (_______________){
            Flag = 1;
            break;
        }
        N /= 10;
    }
cout << (Flag? ""漂亮数"" : ""非漂亮数"");",N % 10 == 0,N % 3 % 10 == 0,N % 10 % 3,N % 10 % 3 == 0,,D,2,中等,GESP-2025.12,一级 数位处理 取模,N%10取个位，再%3==0判断该位能否被3整除
单选,如果正整数N的所有奇因数（即能将N整除的正奇数）的和是27的倍数，则称N是27的神秘数。横线处应填入,(N % i) && (i % 2),(N % i == 0) && (i % 2 == 0),(N % i == 0) && (i % 2),(N % i) && (i % 2 == 0),,C,2,中等,GESP-2025.12,一级 因数 循环,N%i==0判断i是N的因数，i%2判断i是奇数（非零即真）
单选,"执行下面C++代码可以找出千位与个位的和恰好等于中间两位的四位数，横线处应该填入：
int count = 0;
int a, bc, d, tmp;
for (int i = 1000; i <= 9999; i++) {
    a = (tmp = i) / 1000;
    _________________________
    bc = tmp / 10;
    d = tmp - bc * 10;
    if ( a + d == bc) {
        count++;
    }
}
cout << count;",tmp = i / 10;,tmp = i % 100;,tmp -= a * 1000;,tmp = i - i%1000;,,C,2,中等,GESP-2025.12,一级 数位处理,a已取千位，tmp需去掉千位：tmp -= a*1000，再取bc=tmp/10
判断,鸿蒙是华为公司开发的一款操作系统，那么它能够将正确的源程序翻译成目标程序并运行。,A,,,,,B,2,简单,GESP-2025.12,一级 操作系统,操作系统不负责编译程序，编译需要编译器
判断,C++表达式 10 * 4 % 6 和 10 * 2 % 3 的结果相同。,B,,,,,B,2,简单,GESP-2025.12,一级 C++运算符,10*4%6=40%6=4，10*2%3=20%3=2，结果不同
判断,"下面C++代码执行后将输出 0：
int i;
for (i = 0; i < 10; i++)
    if (i % 3 == 0)
        continue;
    else
        break;
cout << i;",A,,,,,A,2,简单,GESP-2025.12,一级 循环 continue break,i=0时continue，i=1时1%3!=0执行break，输出i=1，题目说输出0是错的
判断,"下面C++代码中的 i > -10; i-- 改为 i < 10; i++ 执行结果相同：
int tnt = 0;
for (int i = 0; i > -10; i--){
    if (i < 0)
        i = -i;
    tnt += i;
}
cout << tnt;",A,,,,,A,2,简单,GESP-2025.12,一级 循环结构,两种写法均遍历0到9，结果相同
判断,"下面C++代码执行后将输出99，因为i<100不包括100，而是到99：
int cnt = 0;
for (int i = 0; i < 100; i++)
    cnt += 1;
cout << cnt;",B,,,,,B,2,简单,GESP-2025.12,一级 循环结构,i从0到99共100次，cnt=100，不是99
判断,"下面的C++代码能用于判断输入的正整数是否为对称数：
int n, new_number;
cin >> n;
new_number = 0;
while (n != 0){
    new_number = new_number * 10 + n % 10;
    n /= 10;
}
if (n == new_number)
    cout << ""对称数"";
else
    cout << ""非对称数"";",B,,,,,B,2,中等,GESP-2025.12,一级 回文数,while结束后n已变为0，应在循环前保存原值再比较
判断,"下面C++代码执行后将输出0：
int tnt = 0;
for (int i = -100; i < 100; i++)
    tnt += i;
cout << tnt;",B,,,,,B,2,简单,GESP-2025.12,一级 循环 求和,-100到99的和为-100，不为0
判断,"某同学执行C++代码时 printf(""%g\n"", (3 + 3.1415926535)); 输出6.14159而不是6.1415926535，表明该同学的计算机存在故障需要重新安装C++软件。",B,,,,,B,2,简单,GESP-2025.12,一级 printf格式化,%g默认6位有效数字，输出6.14159是正常行为，不是故障
判断,如果 x 是C++代码中的 double 型变量，则对 cout << ( x? 1227 : 12.27); 编译时将报错，因为1227和12.12分别是int和double类型，导致识别混乱。,B,,,,,B,2,简单,GESP-2025.12,一级 C++三目运算符,三目运算符会自动类型转换为double，不报错
判断,在C++代码中，不可以将变量命名为keyword，因为它是C++语言的关键字。,B,,,,,B,2,简单,GESP-2025.12,一级 C++关键字,keyword不是C++关键字，可以作为变量名
